gene	log2(fold_change)	p_value
3830403N18Rik	-3.22921	0.00005
9330182L06Rik	-1.34221	0.00005
Adh1	0.932062	0.00005
Agt	1.83168	0.00005
Asb5	-1.52528	0.00005
Asic2	-1.76849	0.00005
Cadps2	-2.45765	0.00005
Cck	-1.53604	0.00005
Cd24a	-0.971319	0.00005
Cenpe	1.0262	0.00005
Col14a1	1.13999	0.00005
Col6a1	0.79923	0.00005
Col6a2	0.946063	0.00005
Cpm	-3.58782	0.00005
Cxcl14	-1.96536	0.00005
Dclk1	1.03106	0.00005
Dpt	1.39753	0.00005
Fbln1	1.12794	0.00005
Folh1	-1.10609	0.00005
Gabrg1	-2.9697	0.00005
Gdf10	1.86727	0.00005
Gm14403	1.11715	0.00005
Grem1	-1.67029	0.00005
Hmgn2	0.782173	0.00005
Igf1	1.14067	0.00005
Igf2	-1.98331	0.00005
Igf2bp1	1.92605	0.00005
Lmo7	0.716394	0.00005
Lrrc17	1.01377	0.00005
Meg3	-1.41818	0.00005
Mfap2	1.08596	0.00005
Mfap4	1.21417	0.00005
Olfml3	0.756226	0.00005
Peg3	1.32213	0.00005
Plagl1	-1.15566	0.00005
Ptn	1.38068	0.00005
Rgs4	-0.973133	0.00005
Rgs5	-1.14151	0.00005
Rian	-0.856172	0.00005
Scml4	1.51152	0.00005
Sdk1	-2.35861	0.00005
Sema3d	-1.06667	0.00005
Serpine2	-0.711106	0.00005
Shisa3	-1.95459	0.00005
Snhg11	-1.41203	0.00005
Spock3	-1.08517	0.00005
Syce1	#NUM!	0.00005
Thbs4	-2.06688	0.00005
Actg2	0.767196	0.0001
Bub1b	0.957666	0.0001
Eomes	3.62319	0.0001
Grpr	-0.970261	0.0001
Mndal	1.06556	0.0001
Pcsk1	-4.474	0.0001
Col6a4	1.25445	0.00015
Fbn2	0.728003	0.00015
Igfbp4	0.921887	0.00015
Msx2	-0.851494	0.00015
Pdgfra	0.678097	0.00015
Slco2b1	1.66576	0.00015
Ube2c	0.84849	0.00015
Wfdc1	-1.9001	0.00015
Cd34	1.97736	0.0002
Fry	-0.830885	0.0002
Plod1	0.669777	0.0002
Tpx2	0.750433	0.0002
A330021E22Rik	-1.12692	0.00025
Cenpa	1.00761	0.00025
Gata4	0.855178	0.00025
Hmgb2	0.74375	0.00025
Mki67	0.725375	0.00025
Ntn4	-0.913451	0.00025
Xlr	-4.74671	0.00025
Sfrp2	0.690428	0.0003
Ankrd1	0.62144	0.00035
Fgf10	-0.668825	0.00035
Foxl2	-1.41303	0.00035
Foxl2os	-1.51874	0.00035
Gem	1.29435	0.00035
Ly6k	-1.68097	0.00035
Slc14a1	-0.866972	0.00035
Casq2	-0.997363	0.0004
